2023-09-14 12:10:57.939 INFO  [restartedMain] [com.gallery.gallery.GalleryApplication] - Starting GalleryApplication using Java 17.0.8.1 with PID 15156 (C:\Users\rkdvk\Desktop\work-project 230909\gallery\target\classes started by rkdvk in C:\Users\rkdvk\Desktop\work-project 230909\gallery)
2023-09-14 12:10:57.944 INFO  [restartedMain] [com.gallery.gallery.GalleryApplication] - No active profile set, falling back to 1 default profile: "default"
2023-09-14 12:10:58.108 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-09-14 12:10:58.110 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-09-14 12:10:59.989 INFO  [restartedMain] [o.s.d.r.c.RepositoryConfigurationDelegate] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-09-14 12:11:00.090 INFO  [restartedMain] [o.s.d.r.c.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 88 ms. Found 1 JPA repository interfaces.
2023-09-14 12:11:00.930 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 80 (http)
2023-09-14 12:11:00.941 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-80"]
2023-09-14 12:11:00.944 INFO  [restartedMain] [o.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-09-14 12:11:00.946 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.11]
2023-09-14 12:11:01.091 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-09-14 12:11:01.096 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 2976 ms
2023-09-14 12:11:01.392 INFO  [restartedMain] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-09-14 12:11:01.801 INFO  [restartedMain] [com.zaxxer.hikari.pool.HikariPool] - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3c4b623f
2023-09-14 12:11:01.803 INFO  [restartedMain] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-09-14 12:11:01.869 INFO  [restartedMain] [o.hibernate.jpa.internal.util.LogHelper] - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-09-14 12:11:02.066 INFO  [restartedMain] [org.hibernate.Version] - HHH000412: Hibernate ORM core version 6.2.6.Final
2023-09-14 12:11:02.082 INFO  [restartedMain] [org.hibernate.cfg.Environment] - HHH000406: Using bytecode reflection optimizer
2023-09-14 12:11:02.523 INFO  [restartedMain] [o.h.b.internal.BytecodeProviderInitiator] - HHH000021: Bytecode provider name : bytebuddy
2023-09-14 12:11:02.765 INFO  [restartedMain] [o.s.o.j.p.SpringPersistenceUnitInfo] - No LoadTimeWeaver setup: ignoring JPA class transformer
2023-09-14 12:11:03.165 INFO  [restartedMain] [o.h.b.internal.BytecodeProviderInitiator] - HHH000021: Bytecode provider name : bytebuddy
2023-09-14 12:11:03.900 INFO  [restartedMain] [o.h.e.t.j.p.i.JtaPlatformInitiator] - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-09-14 12:11:03.904 INFO  [restartedMain] [o.s.o.j.LocalContainerEntityManagerFactoryBean] - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-09-14 12:11:05.630 WARN  [restartedMain] [o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-09-14 12:11:05.822 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-09-14 12:11:06.058 WARN  [restartedMain] [org.thymeleaf.templatemode.TemplateMode] - [THYMELEAF][restartedMain] Unknown Template Mode 'HTML5'. Must be one of: 'HTML', 'XML', 'TEXT', 'JAVASCRIPT', 'CSS', 'RAW'. Using default Template Mode 'HTML'.
2023-09-14 12:11:06.337 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-09-14 12:11:06.359 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-80"]
2023-09-14 12:11:06.393 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 80 (http) with context path ''
2023-09-14 12:11:06.423 INFO  [restartedMain] [com.gallery.gallery.GalleryApplication] - Started GalleryApplication in 9.284 seconds (process running for 10.612)
2023-09-14 12:11:07.164 INFO  [http-nio-80-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-09-14 12:11:07.165 INFO  [http-nio-80-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-09-14 12:11:07.166 INFO  [http-nio-80-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
